SerialNo,SerialNo_Normalized,LibraryNumber,begLineNo,endLineNo,nLines,byteCount,Collection,Title-English,Title-Sanskrit,Title-Tibetan,"Title-Tibetan Brief",SealIDs,Author-Tibetan,Author-English,Primary-Author-Tibetan,Primary-Author-English,SectionVolume,volume,volNdx,Colophon,Language,"Folios or pages","Published date","Text Format","Paper source","Paper hue","Paper grade",Readability,"Lines Per Page","Page Size","Printed area size",Location,"Drawings and illustrations",Notes,modDate,"Cataloger Name",Z,J,J1,J2,J3,W,crDate,refFrom,hasDupSerNos,dupSerNoIDs,isDupSerNo,dupTitleDeleted,dupTitleIDs,dontUse,parentFilePath,parentRecID,text,addedToWork,recID
M0000368,M0000368,,605,633,29,36462,,,,"MKHAS GRUB RIN PO CHE'I DAM BCA' BCU BZHUGS SO","DAM BCA'",,"MKHAS GRUB RJE",,"DGE LEGS DPAL BZANG","Gelek Pelzang",KA,KA,1,"@004B CES YOS BU'I LO TSE 'PHRUL CHEN PO'I DPO ZLA BA'I TSES
BRGYAD LA MANG DU THOS PA'I BTZUN PA DGE LEGS DPAL BZANG POS,
LHAS BYIN GLING GI GTZUG LAG KHANG DU YID DAM DU BGYIS BA'O,, ,,

DGE LEGS 'PHEL,, ,,AOm SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I
DRI BSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I
BCUD, ,'GRO KUN SPYOD PHYIR KUN DGA' CHOS KYI GLING, ,CHOS SDE
CHE NAS CHOS SBYIN CHAR 'DI SPEL, ,SARBA MANG+GA LAm,",,1A-4B,,XYL,M,"W, W",G,G,6,"535x90 mm","483x65 mm",,,,"1999-11-21 08:09:18",,,,,,,,"1999-11-21 08:09:18",,1,9379,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M1116-2.008",27955,,0,744
M0000615,M0000615,,492,519,28,34293,,,,"GSHIN RJE GSHED KYI 'KHRUL 'KHOR GYI MAN NGAG SBAS DON YIG CHUNG GI PHRENG BA HA LA'I LE 'DAB BZHUGS SO","BKA' HA LA'I LO 'DAB",,"MKHAS GRUB RJE",,"DGE LEGS DPAL BZANG","Gelek Pelzang",MA,MA,16,"@005A *, ,AOm SVA STI, RGYAL BSTAN

@005B PAD TSAL PHAN BDE'I DRI BSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS
RNAM GROL SBRANG RTZI'I BCUD, ,'GRO KUN SPYOD PHYIR SKU 'BUM
BYAMS PA GLING, ,CHOS SDE CHE NAS CHOS SBYIN CHAR 'DI SPEL,,
,,SARBA DZA GA TAm,, ,, ",,1A-5B,,XYL,M,"W, Y",G,G,6,"535x98 mm","480x60 mm",,,,"1999-12-25 01:01:42",,,,,,,,"1999-12-25 01:01:42",M0000667,1,9421,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M1217-2.013",26145,,0,1116
M0001040,M0001040,,1674,1718,45,60041,,,,"MKHAS GRUB THAMS CAD MKHYEN PA'I GSANG BA'I RNAM THAR RJE BTZUN CHOS KYI RGYAL MTSAN GYIS MDZAD PA BZHUGS SO","GSANG RNAM",,"MKHAS GRUB RJE",,"DGE LEGS DPAL BZANG","Gelek Pelzang",THA,THA,10,"@027B CES MKHAS SHING GRUB PA BRNYES PA'I BDAG GI YONGS 'DZIN
CHEN PO THAMS CAD MKHYEN PA DGE LEGS DPAL BZANG PO'I ZHAL SNGA
NAS KYI RNAM PAR THAR PA CUNG ZAD

BSDEBS PA 'DI, RJE BTZUN BLO BZANG GRAGS PA'I ZHAL SNGA NAS
DANG, BLA MA 'DI'I ZHABS RDUL SPYI BOS NOD PA MANG DU THOS PA'I
DGE SLONG CHOS LDAN RAB 'BYOR GYIS SNANG BA THAMS CAD SGYU MAR
RTOGS SHING, SRID GSUM DRI ZA'I GRONG KHYER LHAR GZIGS NAS, TSE
'DI BLOS BTANG GI

SGRUB PA SNYING POR MDZAD PA RJE BTZUN RED MDA' PA'I SGRUB GNAS
GANGS BU LE'I MGUL RGYAN DU SBYAR BA 'DIS KYANG, RGYAL BA'I
BSTAN PA SPYI DANG KHYAD PAR DU YANG RJE YAB SRAS KYI BSTAN PA
RIN PO CHE DAR ZHING RGYAS LA YUN RING DU GNAS PA DANG, RJES SU
'DZIN PA'I RGYUR GYUR CIG ,

@028A *, ,DGE'O,, BSAM DON CHOS LDAN YID BZHIN DU 'GRUB PA'I
RGYUR GYUR CIG , ,,SVA STI, PHAN BDE'I 'BYUNG GNAS RGYAL BSTAN
YONGS 'DU'I LJON, ,RAB RGYAS 'GRO KUN THAR MCHOG 'BRAS BZANG LA,
,SPYOD PHYIR BKRA SHIS LHUN

GRUB CHOS GRVA CHER, ,CHOS SBYIN 'DZAD MED DAL 'GRO'I RGYUN 'DI
SPEL, ,SARBA DZA GA TAm,, ,,",,1A-28A,,XYL,T,"W, W",G,G,7,"546x97 mm","484x65 mm",,,,"2000-02-10 16:15:54",,,,,,,,"2000-02-10 16:15:54",,1,9443,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0201-2.021",26435,,0,1860
M0001215,M0001215,,632,665,34,60089,,,,"DPAL GSANG BA 'DUS PA MI BSKYOD PA'I ZHI BA DANG RGYAS PA'I SBYIN SREG GI CHO GA LAG TU BLANG BDE BA BZHUGS SO","GSANG SBYIN SREG",,"MKHAS GRUB RJE",,"DGE LEGS DPAL BZANG","Gelek Pelzang",PHA,PHA,14,"@011A *, ,(DPAL GSANG BA 'DUS PA'I ZHI RGYAS KYI SBYIN SREG GI
CHO GA'I NGAG 'DON TZAM ZHIG BZUNG BDE BA KHO NA DON DU GNYER
BA'I LAS DANG POS DAG GI NGOR, ^ SH'AKYA'I DGE SLONG DGE LEGS
DPAL BZANG POS DPAL RI BO

@011B MDANGS CAN GYI DGON PAR SBYAR BA'O, 'DIS KYANG BSTAN PA
RIN PO CHE DAR ZHING RGYAS PAR GYUR CIG , ,,)AOm SVA STI, RGYAL
BSTAN PAD TSAL PHAN BDE'I DRI BSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS
RNAM GROL SBRANG RTZI'I BCUD, ,'GRO KUN SPYOD

PHYIR SKU 'BUM BYAMS PA GLING, ,CHOS SDE CHE NAS CHOS SBYIN CHAR
'DI SPEL,, SARBA MANG+GA LAm,, ,,",,1A-11B,,XYL,M,"W, W",G,G,6,"508x83 mm","480x63 mm",,,,"2000-03-06 01:46:32",,,,,,,,"2000-03-06 01:46:32",,1,9289,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0302-2.025",30078,,0,2232
M0001510,M0001510,,516,570,55,48305,,,,"BYANG CHUB SEMS DPA'I SPYOD PA LA 'JUG PA'I RNAM BSHAD RGYAL SRAS 'JUG NGOGS BZHUGS SO","SPYOD RNAM",,"RGYAL TSAB DAR MA RIN CHEN",,"DAR MA RIN CHEN","Darma Rinchen",NGA,NGA,4,"@162B BYANG CHUB SEMS DPA'I SPYOD PA

LA 'JUG PA'I RNAM BSHAD RGYAL SRAS 'JUG NGOGS ZES BYA BA 'DI NI,
'GRO BA DU MA'I 'DREN PA DAM PA SDOM PA GSUM DANG LDAN ZHING MDO
SNGAGS KYI GZHUNG MANG DU THOS PA'I PHA ROL TU SON PA, BLA MA
CHOS SGO BA BSOD NAMS DPAL PAS KYANG LAN DU

MAR BSKUL BA DANG, BSTAN PA RIN PO CHE'I KHUR 'DZIN PAS MI NGAL
ZHING MDO SNGAGS KYIS BSDUS PA'I GZHUNG GI GNAD DU MA THUGS SU
CHUD NAS BSLAB PA GSUM GCES SPRAS SU MDZAD PA BSHES GNYEN NAM
MKHA' BZANG PO PA DANG, BLA MA GRAGS SENG

BA GNYIS KYIS MDO KHAMS STOD NAS 'BUL BA ME TOG DANG BCAS TE
YANG YANG BSKUL ZHING, KHYAD PAR DU BLA MA GRAGS SENG BAS ME TOG
RGYA CHEN PO DANG BCAS TE NAN CHER BSKUL BA LA BRTEN NAS, RGYAL
BA'I RING LUGS PA CHEN PO RJE BTZUN DAM PA

KU MA RA MA TI'I ZHAL SNGA NAS DANG, SNYIGS DUS KYI THAMS CAD
MKHYEN PA CHEN PO BLO BZANG GRAGS PA'I DPAL BZANG PO'I ZHAL SNGA
NAS GNYIS KYI ZHABS KYI RDUL YUN RING DU SPYI BOS GTUGS PA'I
BKA' DRIN LA BRTEN NAS, RIGS PAR SMRA BA DGE

@163A *, ,SLONG DAR MA RIN CHEN GYIS 'BROG RI BO CHE DGE LDAN
RNAM PAR RGYAL BA'I GLING DU SBYAR BA'O, ,YI GE PA NI SDON
BRTZON SDE SNOD 'DZIN PA RIN CHEN CHOS RGYAL LO, ,'DIS KYANG
BSTAN PA RIN PO CHE SGO THAMS CAD NAS PHYOGS THAMS CAD

DU DAR ZHING RGYAS LA YUN RING DU GNAS PAR GYUR CIG , ,,AOm SVA
STI, PHAN BDE'I 'BYUNG GNAS RGYAL BSTAN YONGS 'DU'I LJON, ,RAB
RGYAS 'GRO KUN THAR MCHOG 'BRAS BZANG LA, ,SPYOD PHYIR BKRA SHIS

LHUN GRUB CHOS GRVA CHER, ,CHOS SBYIN 'DZAD MED DAL 'GRO'I RGYUN
'DI SPEL,, SARBA MANG+GA LAm,, ,,",,1A-163A,,XYL,T,"W, BR",G,G,6,"576x98 mm","494x66 mm",,,,"2000-04-17 01:07:16",,,,,,,,"2000-04-17 01:07:16",,1,20354,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0411-2.031",30479,,0,3348
M0002125,M0002125,,738,764,27,24417,,,,"RJE BTZUN THAMS CAD MKHYEN PA'I GSUNG 'BUM THOR BU BA LAS CHOS RGYAL CHEN PO TSE RING MCHED LNGA RDO RJE GRAGS PO RGYAL RDO RJE G-YU SGRON MA 'PHYOS LHA GONG BTZUN DE MO BO RE ? GUNG RGYAL SOGS KYI GSOL KHA BSTOD PA DANG BCAS PA RNAMS BZHUGS SO",,,"DGE 'DUN RGYA MTSO",,"DGE 'DUN RGYA MTSO","Gendun Gyatso",RI,RI,55,"@008B ZHES PA 'DI YANG DNGOS ? GONG MA CHEN PO'I BKA' STZAL
GYIS 'DI LTA BU ZHIG DGOS ZHES BSKUL NAS RJE BTZUN THAMS CAD
MKHYEN PAS MDZAD PA'O, ,",,1A-8B,,XYL,T,"W, Y",G,G,6,"50x90 mm","482x58 mm",,,,"2000-08-08 23:20:14",,,,,,,,"2000-08-08 23:20:14",,1,20418,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0809-2.043",29002,,0,4092
M0002540,M0002540,,1285,1313,29,34926,,,,"NO TITLE [GANG GI ZHABS ZUNG SNYING LA DRAN PAS KYANG, ,'CHI MED TSE DANG YE SHES MCHOG STZOL BA, ,TSE DPAG MED MGON DE LA PHYAG 'TSAL NAS, ,'CHI MED TSE YI SGRUB PA 'DIR BSHAD BYA,]",,,"DGE 'DUN RGYA MTSO",,"DGE 'DUN RGYA MTSO","Gendun Gyatso",MA,MA,16,"@053B CES PA 'DI NI BSTAN PA'I RTZA LAG DAM PA CHOS KYI RJE
DGE LEGS RNAM RGYAL BA'I GSUNG GIS BSKUL BA LA BRTEN NAS, BLA MA
DAM PA'I GSUNG LAS BYUNG BA BZHIN DU DGE 'DUN RGYA MTSO'I DPAL
LDAN 'BRAS SPUNGS KYI DGA' LDAN PHO BRANG DU SBYAR BA'I YI GE PA
NI LUNG RIGS SMRA BA YON TAN MCHOG GIS BGYIS PA 'DIS KYANG BSTAN
PA DANG SEMS CAN LA PHAN PA CHEN PO 'BYUNG BAR GYUR CIG ,",,47B-53B,,XYL,T,"W, Y",G,M,6,"544x92 mm","458x63 mm","DPAL LDAN 'BRAS SPUNGS",,,"2000-10-13 00:47:02",,,,,,,,"2000-10-13 00:47:02",,1,20426,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M1002-2.051",27680,,0,5208
M0002811,M0002811,"\CHA 192\",283,305,23,27992,,,,"RJE BTZUN THAMS CAD MKHYEN PA'I GSUNG 'BUM THOR BU BA LAS CHAB SHOG SNYAN NGAG GI SKOR RNAMS BZHUGS SO",,,"DGE 'DUN RGYA MTSO",,"DGE 'DUN RGYA MTSO","Gendun Gyatso",R'i,,0,"@002A *, ,ZHES ZI PO LER GRAGS PA ZHO GANG LA RGYA 'BYAR BA
DANG BCAS TE GZHIS KA'I BYANG MA NAS PHUL BA'I ZHU YIG CES PA
RJE MKHAS GRUB NOR BZANG RGYA MTSO LA PHUL BA'O,,",,1A-2A,,XYL,T,"W, BR",G,G,6,"565x97 mm","470x62 mm",,,,"2000-11-16 23:55:22",,,,,,,,"2000-11-16 23:55:22",,1,20431,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M1114-2.057",30769,,0,5580
M0003177,M0003177,,691,713,23,22670,,,,"NO TITLE [GANG GI RNAM DPYOD ZLA BA'I THIGS PHRENG GIS, ,MTHA' DAG DBANG PHYUG ZUR PHUD DANG 'GROGS SHING,]",,,"DGE 'DUN RGYA MTSO",,"DGE 'DUN RGYA MTSO","Gendun Gyatso",R'i,,0,"@076B DGA' BA GNYIS PA'I TSES LA PHUL ZHU YIG ,ZHES PA 'DI
YANG DE NYID LA GNANG BA'O,,",,76A-76B,"DGA' BA GNYIS PA'I TSES,",XYL,T,"W, BR",M,M,6,"530x93 mm","470x62 mm",,,,"2001-01-17 14:12:30",,,,,,,,"2001-01-17 14:12:30",,1,30143,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/From Bob Taylor 2/New Data/RCVD.010116/M0102.064",20436,,0,6696
M0003521,M0003521,/14/,755,795,41,53014,,,,"YANG BZLOG NAG PO ME'I SPU GRI'I LAS BYANG RDO RJE'I THOG MDA' BZHUGS SO","YANG NAG LAS BYANG",,"NGAG DBANG BLO BZANG RGYA MTSO",,"NGAG DBANG BLO BZANG RGYA MTSO","His Holiness the Fifth Dalai Lama, Ngawang Lobsang Gyatso","NANG KHA",KHA,2,"@016A *, ,CES YANG BZLOG ME'I SPU GRI'I LAS BYANG RDO RJE'I
THOG MDA' 'DI NI SNGON NAS BSGRIGS PA'I 'PHRIN LAS DE SHIN TU
NYUNG BA LA DGA' BA'I DBANG DU BYAS PAS BRJOD DON MI GSAL ZHING
MA TSANG BAS LAG LEN DU 'DEBS DKA' BA NAS RNAM PAR RGYAL BA'I
PHAN BDE LEGS BSHAD GLING PA RNAMS KYI NYAMS LEN DU GAL PO CHER
MTHONG BAS RING NAS BSGRIG PA'I 'DUN PA YOD KYANG RNAM G-YENG
GI 'KHOL POR LUS TE RE ZHIG 'GYANGS PA, NYE CHAR SPANG STON
SNGAGS 'CHANG BLO BZANG NGAG DBANG SOGS DON GNYER CAN 'GAS BSKUL
BAS MTSAMS SBYAR TE ZUR THAMS CAD MKHYEN PA CHOS DBYINGS RANG
GROL SOGS DAM PA DU MA'I DRUNG DU GSHED SKOR 'DI NYID KYI DBANG
LUNG MAN NGAG RNAMS 'BAD PAS NOS SHING SHIN TU ZAB CING SBAS
PA'I SNYAN BRGYUD KYI PHYAG LEN DMAR 'KHRID RNAMS LHA SRAS RNAM
SPRUL DBUR SMYON CHOS KYI GRAGS PA'I DRUNG DU ZHUN THAR BCAD PA
LA BRTEN NAS GDENGS TSAD RNYED PA ZA HOR GYI RIGS LAS SNGAGS PA
NAG PO ZIL GNON DRAG PO RTZAL GYIS SHING SPRUL GRO BZHIN ZLA
BA'I THABS KYI CHA'I DGA' BA GNYIS PA'I TSES LA PHO BRANG PO TA
LAR SBYAR BA'I YI GE PA NI GNAS GSAR 'JAM DBYANGS SO,, ,,SARBA
MANG GA LAm, ,",,1A-16A,"SHING SPRUL GRO BZHIN ZLA BA'I THABS KYI CHA'I DGA' BA GNYIS PA'I TSES,",XYL,T,"W, W",G,G,6,"522x82 mm","470x60 mm","PHO BRANG PO TA LA",,,"2001-02-13 20:50:32",,,,,,,,"2001-02-13 20:50:32",,1,20339,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0207-2.071",28459,,0,7812
M0004187,M0004187,,1142,1174,33,36698,,,,"DKAR CHA BZHI'I DGA' STON PHAN BDE'I 'DOD 'JO ZHES BYA BA BZHUGS","GTOR MA SNA TSOGS",,"NGAG DBANG BLO BZANG RGYA MTSO",,"NGAG DBANG BLO BZANG RGYA MTSO","His Holiness the Fifth Dalai Lama, Ngawang Lobsang Gyatso",DA,DA,11,"@018A *, ,CES SA SKYA'I 'JAM MGON RIM BYON GYI PHYAG LEN
'KHRUL PA'I DRI MA MED PA DKAR CHA BZHI'I DGA' 'DON PHAN BDE'I
'DOD 'JO ZHES BYA BA 'DI NI G-YO RU GRVA DGE BA'I 'BYUNG GNAS
KYI YUL GRU'I CHAR BYUNG BA'I LDUM PO PA NOR BU DAR RGYAS KYIS
DON GNYER CHEN POS BSKUL BA LA BRTEN NAS, RDO RJE 'CHANG PHA
BONG KHA PA SOGS YONGS 'DZIN DAM PA CHOS BZHIN DU SPYOD PA DU
MA'I BKA' DRIN GYIS 'TSO BA ZA HOR GYI BANDES CHOS KYI RGYAL PO
'PHAGS PA, SEMS DPA' CHEN PO THOGS MED BZANG PO DPAL, AE WAm
SHAR KHANG PA SHES RAB RGYAL MTSAN GYIS MDZAD PA SOGS KHUNGS
BTZUN GYI YI GE LA BRTEN NAS RANG BZOS MA BSLAD PAR SBYAR BA'I
YI GE PA NI GNAS BTZUN 'JAM DBYANGS SO, ,",,14B-18A,,XYL,T,"W, Y",G,G,6,"54.0x8.2 cm","45.0x6.4 cm","DGA' LDAN PHO BRANG",,,"2001-09-16 18:20:10",,,,,,,,"2001-09-16 18:20:10",,1,1258,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0827-2.084",30423,,0,11160
M0004558,M0004558,,196,220,25,29427,,,,"NO TITLE [BDE LDAN ZHING DU 'OD ZER STONG 'BAR BAS, ,CHOS CHER BSNGAGS PA'I GTZUG TOR RNAM PAR RGYAL,]","SMON LAM",,"NGAG DBANG BLO BZANG RGYA MTSO",,"NGAG DBANG BLO BZANG RGYA MTSO","His Holiness the Fifth Dalai Lama, Ngawang Lobsang Gyatso",KA,KA,1,"@148B CES PA 'DI'ANG NGAG DBANG NAM MKHAS RI BO BDE CHEN DU
'DZUGS RTZIS KYI BSKUL BA LTAR ZA HOR GYI BANDES SBYAR BA'I YI
GE PA NI 'PHYONG RGYAS BKRAS RAB PA PHUN TSOGS DBANG PO'O,,",,148A-148B,,XYL,T,"W, W",G,G,6,"57.0x9.3 cm","47.8x6.4 cm",,,,"2002-01-20 00:14:48",,1750,M0288930.086-0855,,,,MBS,"2002-01-20 00:14:48",,1,1264,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0115-2.092",29145,,0,40176
M0004952,M0004952,,30,56,27,35557,,,,"DBU MA PHYAG CHEN RDZOGS CHEN ZHES BYA BA BZHUGS SO","BLA MA'I RNAL 'BYOR",,"NGAG DBANG BLO BZANG RGYA MTSO",,"NGAG DBANG BLO BZANG RGYA MTSO","His Holiness the Fifth Dalai Lama, Ngawang Lobsang Gyatso",BA,BA,15,"@035A *, ,DE LTAR DBU MA PHYAG CHEN RDZOGS CHEN ZHES, ,CHEN PO
GSUM GYI LTA BA'I DGONGS PA RNAMS, ,THUN MONG SPYI KHYAB NGO
SPROD MAN NGAG LAS, ,BTUS TE TSIG NYUNG DON TSANG BKOD PA 'DIS,
,DGE SLONG RIN CHEN RGYA MTSO ZHES BYA BAS, ,'BAD PA CHEN POS
NAN GYIS BSKUL BA'I NGOR, ,'JAM MGON DPAL 'BYOR LHUN GRUB GSUNG
RGYUN BZHIN, ,ZA HOR BANDES G-YAR KHRAL TZAM DU SBYAR,,",,33B-35A,,XYL,T,"W, Y",G,G,6,"53.5x8.7 cm","50.0x6.4 cm",,,,"2002-02-28 22:32:18",,1750,M0288930.086-0855,,,,MBS,"2002-02-28 22:32:18",,1,1265,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0228-2.100",29525,,0,40920
M0005124,M0005124,,698,722,25,29777,,,,"NO TITLE ['DI PHYI'I DNGOS GRUB LEGS TSOGS 'BYUNG BA'I GZHI, ,RDO RJE'I SLOB DPON DAM PAR NGES RNYED NAS, ,SGO GSUM 'BAD SA RTAG TU GSOL 'DEBS NA, ,'DI DANG GTAN GYI MDUN MA LTUN GRUB SHOG]","BLA MA'I BSTOD TSOGS",,"NGAG DBANG BLO BZANG RGYA MTSO",,"NGAG DBANG BLO BZANG RGYA MTSO","His Holiness the Fifth Dalai Lama, Ngawang Lobsang Gyatso",BA,BA,15,"@118B CES PA 'DI YANG AA MI DA RAS BSKUL BA LTAR ZA HOR GYI
BANDES BKOD PA'O,,",,118A-118B,,XYL,T,"W, Y",G,G,6,"53.5x8.7 cm","50.0x6.4 cm",,,,"2002-03-12 19:30:02",,1750,M0288930.086-0855,,,,MBS,"2002-03-12 19:30:02",,1,1315,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0308-2.103",26652,,0,41292
M0005912,M0005912,,408,436,29,55372,,,,"SBYOR BA YAN LAG DRUG GI KHRID ZAB MO'I DMIG RIM GYI LAG RJES BZHUGS SO","LAG RJES AithI",,"RJE BLO BZANG GRAGS PA",,"BLO BZANG GRAGS PA'I DPAL","Losang Drakpey Pel",DZA,DZA,19,"@008A *, ,AithI, SBYOR DRUG KHRID KYI DMIGS RIM LAG RJES 'DI,
BLO BZANG GRAGS PA'I ZHAL SHES SNYAN BRGYUD YIN, ,SROG PAS GCES
BZUNG SNONG MIN GSANG BA GCES, ,RTZE GCIG SGRUBS DANG SANGS
RGYAS LAG MTHIL YOD,, ,,SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I
DRI BSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I
BCUD, ,'GRO KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE
CHE NAS CHOS SBYIN CHAR 'DI SPEL, ,SARBA MANGGA LAm,, ,,",,1A-8A,,XYL,M,"W, Y",G,G,6,"54.5x9.8 cm","47.5x6.5 cm","T'A KHU RE",,,"2002-06-02 18:10:32",,1750,M0288930.086-0855,,,,MBS,"2002-06-02 18:10:32",,1,1322,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0531-2.119",30155,,0,42780
M0006134,M0006134,,1175,1199,25,46921,,,,"KHRO BCU'I ZIN BRIS BZHUGS SO","KHRO BCU",,"RJE BLO BZANG GRAGS PA",,"BLO BZANG GRAGS PA'I DPAL","Losang Drakpey Pel",CHA,CHA,6,"@005A *, , SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI BSUNG
CAN, , BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD,
,'GRO KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE
NAS CHOS SBYIN CHAR 'DI SPEL, ,SARBA MANGGA LAm,, ,,",,1A-5A,,XYL,M,"W, W",G,G,6,"53.5x9.8 cm","48.0x6.5 cm","T'A KHU RE",,,"2002-06-13 17:46:44",,1750,M0288930.086-0855,,,,MBS,"2002-06-13 17:46:44",,1,1233,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0613-2.123",26874,,0,43152
M0006478,M0006478,,957,994,38,45653,,,,"RJE'I RNAM THAR SHIN TU GSANG BA NGO MTSAR RMAD DU BYUNG BA'I GTAM ZHES BYA BA BZHUGS SO","RNAM THAR AithI",,"RJE BLO BZANG GRAGS PA",,"BLO BZANG GRAGS PA'I DPAL","Losang Drakpey Pel",DZA,DZA,19,"@004A *, ,DE LTA BU'I NGO MTSAR RMAD DU BYUNG BA'I GTAM DU BYA
BA, SLOB DPON THAMS CAD MKHYEN PA SHAR TZONG KHA PA BLO BZANG
GRAGS PA'I DPAL GYI RNAM THAR PA, GZHAN LAS PHUL DU PHYIN PA
'DI, SLOB DPO RIN CHEN RGYAL MTSAN PAS BKA' GNANG ZHING, RANG GI
SLOB MA MDO SMAD PA BSONG SHE DANG, MNGA' RIS PA DPON PO NAM
MKHA' BZANG PO GNYIS KYIS, GSER GYI MAndAL PHUL TE BSKUL BA LA
BRTEN NAS, SPONG BA PA 'JAM DPAL RGYA MTSOS GSOL BA YUN RING DU
BTAB NAS, RJE BTZUN GYI BKA' JI LTA BA BZHIN DU, YOS LO ZLA BA
BRGYAD PA'I TSES BRGYAD LA YI GER BKOD PA'O,, ,, ` SVA STI,
RGYAL BSTAN PAD TSAL PHAN BDE'I DRI GSUNG CAN, ,BSHAD SGRUB 'DAB
RGYAS RNAM GROL SBRANG RTZI'I BCUD, ,'GRO KUN SPYOD PHYIR DGA'
LDAN THEG CHEN GLING, ,CHOS SDE CHE NAS CHOS SBYIN CHAR 'DI
SPEL, ,SARBA MANGGA LAm,,",,1A-4A,,XYL,M,"W, Y",G,G,6,"54.8x9.3 cm","48.0x6.5 cm","T'A KHU RE","1BL-*, ,SEMS DPA' CHEN PO DON GRUB RIN CHEN ZHABS,,   1BR-*, ,DE NYID GSAL MDZAD DPA' BO RDO RJE'I ZHABS,,   2AL-*, ,SNYIGS DUS 'GRO BA'I 'DREN MCHOG TZONG KHA PA,,   2AR-*, ,SKAD GNYIS SMRA BA SKYABS MCHOG DPAL BZANG ZHABS,,",,"2002-07-03 23:00:32",,1750,M0288930.086-0855,,,,MBS,"2002-07-03 23:00:32",,1,1232,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0701-2.130",30600,,0,43896
